"id","Symbol","Company","Marketcap"
"103","ICICIGI","ICICI Lombard General Insurance Company Limited","  6,989,616 "
"104","ZYDUSLIFE","Zydus Lifesciences Limited","  6,976,111 "
"105","CGPOWER","CG Power and Industrial Solutions Limited","  6,939,977 "
"106","MOTHERSON","Samvardhana Motherson International Limited","  6,908,562 "
"107","COLPAL","Colgate Palmolive (India) Limited","  6,880,421 "
"108","TIINDIA","Tube Investments of India Limited","  6,848,576 "
"109","HDFCAMC","HDFC Asset Management Company Limited","  6,842,162 "
"110","BHEL","Bharat Heavy Electricals Limited","  6,739,534 "
"111","JSWENERGY","JSW Energy Limited","  6,727,546 "
"112","MAXHEALTH","Max Healthcare Institute Limited","  6,669,156 "
"113","NAUKRI","Info Edge (India) Limited","  6,650,538 "
"114","BOSCHLTD","Bosch Limited","  6,548,709 "
"115","NHPC","NHPC Limited","  6,489,092 "
"116","AUROPHARMA","Aurobindo Pharma Limited","  6,351,575 "
"117","IDFCFIRSTB","IDFC First Bank Limited","  6,277,713 "
"118","INDHOTEL","The Indian Hotels Company Limited","  6,226,325 "
"119","ALKEM","Alkem Laboratories Limited","  6,220,489 "
"120","YESBANK","Yes Bank Limited","  6,168,930 "
"121","NMDC","NMDC Limited","  6,144,015 "
"122","SOLARINDS","Solar Industries India Limited","  6,087,718 "
"123","LUPIN","Lupin Limited","  6,023,239 "
"124","MUTHOOTFIN","Muthoot Finance Limited","  5,926,725 "
"125","SUPREMEIND","Supreme Industries Limited","  5,770,767 "
"126","BHARATFORG","Bharat Forge Limited","  5,765,617 "
"127","PATANJALI","Patanjali Foods Limited","  5,701,419 "
"128","PERSISTENT","Persistent Systems Limited","  5,684,296 "
"129","INDIANB","Indian Bank","  5,669,371 "
"130","HINDPETRO","Hindustan Petroleum Corporation Limited","  5,658,589 "
"131","PGHH","Procter & Gamble Hygiene and Health Care Limited","  5,637,148 "
"132","GODREJPROP","Godrej Properties Limited","  5,597,911 "
"133","LTTS","L&T Technology Services Limited","  5,555,848 "
"134","MRF","MRF Limited","  5,495,641 "
"135","TATAELXSI","Tata Elxsi Limited","  5,451,337 "
"136","CUMMINSIND","Cummins India Limited","  5,444,069 "
"137","GICRE","General Insurance Corporation of India","  5,404,429 "
"138","INDUSTOWER","Indus Towers Limited","  5,364,272 "
"139","PIIND","PI Industries Limited","  5,334,257 "
"140","ASHOKLEY","Ashok Leyland Limited","  5,330,539 "
"141","AUBANK","AU Small Finance Bank Limited","  5,264,624 "
"142","OBEROIRLTY","Oberoi Realty Limited","  5,248,053 "
"143","CONCOR","Container Corporation of India Limited","  5,237,799 "
"144","FACT","Fertilizers and Chemicals Travancore Limited","  5,214,106 "
"145","SUZLON","Suzlon Energy Limited","  5,186,297 "
"146","MPHASIS","MphasiS Limited","  5,171,663 "
