"id","Symbol","Company","Marketcap"
"432","DATAPATTNS","Data Patterns (India) Limited","  1,041,974 "
"433","ELECON","Elecon Engineering Company Limited","  1,040,038 "
"434","CHENNPETRO","Chennai Petroleum Corporation Limited","  1,036,423 "
"435","CANFINHOME","Can Fin Homes Limited","  1,035,473 "
"436","CAPLIPOINT","Caplin Point Laboratories Limited","  1,029,870 "
"437","TTKPRESTIG","TTK Prestige Limited","  1,027,546 "
"438","PRAJIND","Praj Industries Limited","  1,021,445 "
"439","CERA","Cera Sanitaryware Limited","  1,020,610 "
"440","SWSOLAR","Sterling and Wilson Renewable Energy Limited","  1,007,275 "
"441","RENUKA","Shree Renuka Sugars Limited","  1,003,583 "
"442","ROUTE","ROUTE MOBILE LIMITED","  1,001,029 "
"443","GRSE","Garden Reach Shipbuilders & Engineers Limited","  1,000,325 "
"444","EIDPARRY","EID Parry India Limited","  988,595 "
"445","ACE","Action Construction Equipment Limited","  987,378 "
"446","GALAXYSURF","Galaxy Surfactants Limited","  984,135 "
"447","INGERRAND","Ingersoll Rand (India) Limited","  983,106 "
"448","GRANULES","Granules India Limited","  982,684 "
"449","CEATLTD","CEAT Limited","  981,724 "
"450","JKTYRE","JK Tyre & Industries Limited","  980,738 "
"451","SCHNEIDER","Schneider Electric Infrastructure Limited","  978,414 "
"452","HAPPYFORGE","Happy Forgings Limited","  969,604 "
"453","ENGINERSIN","Engineers India Limited","  963,622 "
"454","GSFC","Gujarat State Fertilizers & Chemicals Limited","  961,925 "
"455","ANANTRAJ","Anant Raj Limited","  956,408 "
"456","JPPOWER","Jaiprakash Power Ventures Limited","  956,058 "
"457","SBFC","SBFC Finance Limited","  955,657 "
"458","KIRLOSENG","Kirloskar Oil Engines Limited","  949,670 "
"459","LEMONTREE","Lemon Tree Hotels Limited","  949,507 "
"460","PCBL","PCBL LIMITED","  949,507 "
"461","JMFINANCIL","JM Financial Limited","  938,914 "
"462","LATENTVIEW","Latent View Analytics Limited","  936,966 "
"463","SOBHA","Sobha Limited","  934,896 "
"464","SPARC","Sun Pharma Advanced Research Company Limited","  930,665 "
"465","SAFARI","Safari Industries (India) Limited","  928,203 "
"466","PRSMJOHNSN","Prism Johnson Limited","  924,918 "
"467","MINDACORP","Minda Corporation Limited","  923,444 "
"468","NETWORK18","Network18 Media & Investments Limited","  914,510 "
"469","ESABINDIA","Esab India Limited","  905,379 "
"470","SAPPHIRE","Sapphire Foods India Limited","  905,096 "
"471","USHAMART","Usha Martin Limited","  903,407 "
"472","PNCINFRA","PNC Infratech Limited","  901,607 "
"473","MMTC","MMTC Limited","  897,000 "
"474","MEDPLUS","Medplus Health Services Limited","  896,036 "
"475","SARDAEN","Sarda Energy & Minerals Limited","  892,406 "
"476","RPOWER","Reliance Power Limited","  888,006 "
"477","RCF","Rashtriya Chemicals and Fertilizers Limited","  879,943 "
"478","TVSSCS","TVS Supply Chain Solutions Limited","  870,856 "
"479","JUBLPHARMA","Jubilant Pharmova Limited","  868,799 "
"480","TV18BRDCST","TV18 Broadcast Limited","  865,752 "
"481","BALAMINES","Balaji Amines Limited","  864,621 "
"482","MASTEK","Mastek Limited","  863,586 "
"483","TECHNOE","Techno Electric & Engineering Company Limited","  860,791 "
"484","METROPOLIS","Metropolis Healthcare Limited","  859,609 "
"485","KRBL","KRBL Limited","  858,566 "
"486","DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","  857,660 "
"487","RATEGAIN","Rategain Travel Technologies Limited","  857,187 "
"488","CCL","CCL Products (India) Limited","  856,367 "
"489","CAMPUS","Campus Activewear Limited","  854,564 "
"490","VIPIND","VIP Industries Limited","  848,277 "
"491","MAHSCOOTER","Maharashtra Scooters Limited","  847,920 "
"492","VARROC","Varroc Engineering Limited","  846,742 "
"493","SURYAROSNI","Surya Roshni Limited","  845,570 "
"494","MAHLIFE","Mahindra Lifespace Developers Limited","  842,169 "
"495","GAEL","Gujarat Ambuja Exports Limited","  841,775 "
"496","RELINFRA","Reliance Infrastructure Limited","  831,083 "
"497","BALRAMCHIN","Balrampur Chini Mills Limited","  828,080 "
"498","IONEXCHANG","ION Exchange (India) Limited","  824,560 "
"499","KFINTECH","Kfin Technologies Limited","  822,490 "
"500","HOMEFIRST","Home First Finance Company India Limited","  821,762 "
"501","PGHL","Procter & Gamble Health Limited","  821,296 "
"502","PRINCEPIPE","Prince Pipes And Fittings Limited","  821,192 "
"503","RESPONIND","Responsive Industries Limited","  818,221 "
"504","PTCIL","PTC Industries Limited","  813,756 "
"505","KTKBANK","The Karnataka Bank Limited","  811,564 "
"506","JUBLINGREA","Jubilant Ingrevia Limited","  810,104 "
"507","GLS","Glenmark Life Sciences Limited","  805,065 "
"508","MANINFRA","Man Infraconstruction Limited","  804,500 "
"509","SPANDANA","Spandana Sphoorty Financial Limited","  803,137 "
"510","INDIACEM","The India Cements Limited","  802,324 "
"511","ACI","Archean Chemical Industries Limited","  801,710 "
"512","INOXINDIA","INOX India Limited","  801,079 "
"513","LXCHEM","Laxmi Organic Industries Limited","  799,298 "
"514","TMB","Tamilnad Mercantile Bank Limited","  798,804 "
"515","CHEMPLASTS","Chemplast Sanmar Limited","  790,469 "
"516","ALLCARGO","Allcargo Logistics Limited","  790,403 "
"517","EMIL","Electronics Mart India Limited","  786,426 "
"518","SANDUMA","Sandur Manganese & Iron Ores Limited","  784,587 "
"519","MIDHANI","Mishra Dhatu Nigam Limited","  783,362 "
"520","QUESS","Quess Corp Limited","  776,467 "
"521","TEGA","Tega Industries Limited","  765,530 "
"522","MHRIL","Mahindra Holidays & Resorts India Limited","  765,343 "
"523","SHOPERSTOP","Shoppers Stop Limited","  759,645 "
"524","DOMS","DOMS Industries Limited","  759,076 "
"525","SCI","Shipping Corporation Of India Limited","  758,787 "
"526","GRAVITA","Gravita India Limited","  756,759 "
"527","TRIVENI","Triveni Engineering & Industries Limited","  754,541 "
"528","GPPL","Gujarat Pipavav Port Limited","  739,905 "
"529","HEG","HEG Limited","  736,537 "
"530","EDELWEISS","Edelweiss Financial Services Limited","  734,698 "
"531","DBREALTY","D B Realty Limited","  730,679 "
"532","MARKSANS","Marksans Pharma Limited","  730,248 "
"533","RUSTOMJEE","Keystone Realtors Limited","  729,063 "
"534","VESUVIUS","Vesuvius India Limited","  728,913 "
"535","STARCEMENT","Star Cement Limited","  727,525 "
"536","PDSL","PDS Limited","  726,347 "
"537","CSBBANK","CSB Bank Limited","  726,298 "
"538","IFCI","IFCI Limited","  725,722 "
"539","GMMPFAUDLR","GMM Pfaudler Limited","  724,665 "
"540","ISGEC","Isgec Heavy Engineering Limited","  721,619 "
"541","KNRCON","KNR Constructions Limited","  721,226 "
"542","EASEMYTRIP","Easy Trip Planners Limited","  715,018 "
"543","SAREGAMA","Saregama India Limited","  714,745 "
"544","JLHL","Jupiter Life Line Hospitals Limited","  714,604 "
"545","INDIGOPNTS","Indigo Paints Limited","  709,598 "
"546","LTFOODS","LT Foods Limited","  705,618 "
"547","KIRLOSBROS","Kirloskar Brothers Limited","  705,191 "
"548","RELIGARE","Religare Enterprises Limited","  702,629 "
"549","JAICORPLTD","Jai Corp Limited","  693,187 "
"550","VIJAYA","Vijaya Diagnostic Centre Limited","  691,299 "
"551","JKPAPER","JK Paper Limited","  689,129 "
"552","UJJIVAN","Ujjivan Financial Services Limited","  687,949 "
"553","ROLEXRINGS","Rolex Rings Limited","  686,334 "
"554","GARFIBRES","Garware Technical Fibres Limited","  685,929 "
"555","ARVIND","Arvind Limited","  683,968 "
"556","JUSTDIAL","Just Dial Limited","  682,098 "
"557","GREENLAM","Greenlam Industries Limited","  680,734 "
"558","VRLLOG","VRL Logistics Limited","  680,642 "
"559","MTARTECH","Mtar Technologies Limited","  679,264 "
"560","NEULANDLAB","Neuland Laboratories Limited","  678,881 "
"561","POWERMECH","Power Mech Projects Limited","  677,466 "
"562","GOCOLORS","Go Fashion (India) Limited","  676,030 "
"563","ZENTEC","Zen Technologies Limited","  667,816 "
"564","NETWEB","Netweb Technologies India Limited","  665,800 "
"565","SIS","SIS LIMITED","  662,082 "
"566","VOLTAMP","Voltamp Transformers Limited","  659,697 "
"567","ELECTCAST","Electrosteel Castings Limited","  658,228 "
"568","BECTORFOOD","Mrs. Bectors Food Specialities Limited","  657,579 "
"569","VAIBHAVGBL","Vaibhav Global Limited","  656,754 "
"570","TEXRAIL","Texmaco Rail & Engineering Limited","  656,083 "
"571","SUNTECK","Sunteck Realty Limited","  652,664 "
"572","RSYSTEMS","R Systems International Limited","  649,604 "
"573","REDTAPE","Redtape Limited","  649,549 "
"574","IWEL","Inox Wind Energy Limited","  645,931 "
"575","FDC","FDC Limited","  645,461 "
"576","EPL","EPL Limited","  642,903 "
"577","SHRIPISTON","Shriram Pistons & Rings Limited","  641,365 "
"578","TCI","Transport Corporation of India Limited","  639,076 "
"579","THOMASCOOK","Thomas Cook  (India)  Limited","  639,012 "
"580","BLUEJET","Blue Jet Healthcare Limited","  638,526 "
"581","NAVA","NAVA LIMITED","  635,904 "
"582","HNDFDS","Hindustan Foods Limited","  631,810 "
"583","MOIL","MOIL Limited","  628,769 "
"584","NESCO","Nesco Limited","  621,950 "
"585","PGEL","PG Electroplast Limited","  617,721 "
"586","SYMPHONY","Symphony Limited","  612,823 "
"587","WOCKPHARMA","Wockhardt Limited","  611,495 "
"588","ICIL","Indo Count Industries Limited","  609,710 "
"589","SHAREINDIA","Share India Securities Limited","  609,200 "
"590","INDIASHLTR","India Shelter Finance Corporation Limited","  608,746 "
"591","JINDWORLD","Jindal Worldwide Limited","  608,379 "
"592","TATACOFFEE","Tata Coffee Limited","  599,159 "
"593","CMSINFO","CMS Info Systems Limited","  598,811 "
"594","GENUSPOWER","Genus Power Infrastructures Limited","  597,720 "
"595","INFIBEAM","Infibeam Avenues Limited","  597,351 "
"596","STAR","Strides Pharma Science Limited","  596,533 "
"597","NIITMTS","NIIT Learning Systems Limited","  591,753 "
"598","UTKARSHBNK","Utkarsh Small Finance Bank Limited","  591,152 "
"599","TIIL","Technocraft Industries (India) Limited","  582,515 "
"600","FUSION","Fusion Micro Finance Limited","  582,302 "
"601","BORORENEW","BOROSIL RENEWABLES LIMITED","  574,214 "
"602","ASKAUTOLTD","ASK Automotive Limited","  572,699 "
"603","ASTRAMICRO","Astra Microwave Products Limited","  572,613 "
"604","AVANTIFEED","Avanti Feeds Limited","  572,300 "
"605","JSWHL","JSW Holdings Limited","  570,815 "
"606","GUJALKALI","Gujarat Alkalies and Chemicals Limited","  570,486 "
"607","STLTECH","Sterlite Technologies Limited","  569,845 "
"608","NAZARA","Nazara Technologies Limited","  566,880 "
"609","GABRIEL","Gabriel India Limited","  564,664 "
"610","SUPRAJIT","Suprajit Engineering Limited","  562,804 "
"611","PTC","PTC India Limited","  562,564 "
"612","DBL","Dilip Buildcon Limited","  562,489 "
"613","SOUTHBANK","The South Indian Bank Limited","  558,762 "
"614","GHCL","GHCL Limited","  555,353 "
"615","RBA","Restaurant Brands Asia Limited","  554,802 "
"616","PARADEEP","Paradeep Phosphates Limited","  552,801 "
"617","HGINFRA","H.G. Infra Engineering Limited","  552,358 "
"618","ICRA","ICRA Limited","  552,026 "
"619","RAMKY","Ramky Infrastructure Limited","  547,908 "
"620","KESORAMIND","Kesoram Industries Limited","  547,503 "
"621","SANSERA","Sansera Engineering Limited","  546,013 "
"622","ARVINDFASN","Arvind Fashions Limited","  545,213 "
"623","SENCO","Senco Gold Limited","  541,040 "
"624","AURIONPRO","Aurionpro Solutions Limited","  540,177 "
"625","TEAMLEASE","Teamlease Services Limited","  536,278 "
"626","CYIENTDLM","Cyient DLM Limited","  535,118 "
"627","AGI","AGI Greenpac Limited","  534,465 "
"628","KPIGREEN","KPI Green Energy Limited","  530,393 "
"629","HEIDELBERG","HeidelbergCement India Limited","  527,329 "
"630","TCIEXP","TCI Express Limited","  526,883 "
"631","VSTIND","VST Industries Limited","  526,068 "
"632","GREENPANEL","Greenpanel Industries Limited","  525,091 "
"633","DODLA","Dodla Dairy Limited","  522,465 "
"634","AHLUCONT","Ahluwalia Contracts (India) Limited","  519,489 "
"635","RAIN","Rain Industries Limited","  518,981 "
"636","GATEWAY","Gateway Distriparks Limited","  518,630 "
"637","ORIENTCEM","Orient Cement Limited","  514,425 "
"638","ETHOSLTD","Ethos Limited","  511,335 "
"639","HCG","Healthcare Global Enterprises Limited","  509,066 "
"640","FEDFINA","Fedbank Financial Services Limited","  502,377 "
"641","GOKEX","Gokaldas Exports Limited","  500,921 "
"642","PRUDENT","Prudent Corporate Advisory Services Limited","  498,081 "
"643","ITDCEM","ITD Cementation India Limited","  490,711 "
"644","BBOX","Black Box Limited","  488,854 "
"645","JPASSOCIAT","Jaiprakash Associates Limited","  486,010 "
"646","RALLIS","Rallis India Limited","  485,881 "
"647","ORIENTELEC","Orient Electric Limited","  484,234 "
"648","RTNPOWER","RattanIndia Power Limited","  483,310 "
"649","DHANUKA","Dhanuka Agritech Limited","  481,763 "
"650","WSTCSTPAPR","West Coast Paper Mills Limited","  481,761 "
"651","WONDERLA","Wonderla Holidays Limited","  476,941 "
"652","DBCORP","D.B.Corp Limited","  475,997 "
"653","MASFIN","MAS Financial Services Limited","  475,423 "
"654","LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","  472,774 "
"655","IBREALEST","Indiabulls Real Estate Limited","  472,070 "
"656","KKCL","Kewal Kiran Clothing Limited","  472,049 "
"657","MSTCLTD","Mstc Limited","  471,117 "
"658","TINPLATE","The Tinplate Company of India Limited","  470,586 "
"659","PATELENG","Patel Engineering Limited","  465,331 "
"660","TI","Tilaknagar Industries Limited","  463,537 "
"661","PRICOLLTD","Pricol Limited","  462,967 "
"662","SHANTIGEAR","Shanthi Gears Limited","  460,679 "
"663","HGS","Hinduja Global Solutions Limited","  460,365 "
"664","PRIVISCL","Privi Speciality Chemicals Limited","  459,475 "
"665","CHOICEIN","Choice International Limited","  458,004 "
"666","AARTIPHARM","Aarti Pharmalabs Limited","  457,163 "
"667","BANCOINDIA","Banco Products (I) Limited","  457,111 "
"668","MAXESTATES","Max Estates Limited","  456,558 "
"669","NOCIL","NOCIL Limited","  455,859 "
"670","JAYNECOIND","Jayaswal Neco Industries Limited","  454,913 "
"671","WELENT","Welspun Enterprises Limited","  451,575 "
"672","AARTIDRUGS","Aarti Drugs Limited","  449,746 "
"673","IIFLSEC","IIFL Securities Limited","  449,184 "
"674","NFL","National Fertilizers Limited","  448,879 "
"675","JAMNAAUTO","Jamna Auto Industries Limited","  445,495 "
"676","PURVA","Puravankara Limited","  443,233 "
"677","ROSSARI","Rossari Biotech Limited","  441,423 "
"678","TIPSINDLTD","TIPS Industries Limited","  439,091 "
"679","JKIL","J.Kumar Infraprojects Limited","  436,817 "
"680","HEMIPROP","Hemisphere Properties India Limited","  436,620 "
"681","GALLANTT","Gallantt Ispat Limited","  433,823 "
"682","HCC","Hindustan Construction Company Limited","  432,726 "
"683","MUTHOOTMF","Muthoot Microfin Limited","  428,191 "
"684","DATAMATICS","Datamatics Global Services Limited","  427,337 "
"685","ORISSAMINE","The Orissa Minerals Development Company Limited","  425,637 "
"686","JISLJALEQS","Jain Irrigation Systems Limited","  423,508 "
"687","KALAMANDIR","Sai Silks (Kalamandir) Limited","  421,757 "
"688","SULA","Sula Vineyards Limited","  420,732 "
"689","HMAAGRO","HMA Agro Industries Limited","  420,647 "
"690","ADVENZYMES","Advanced Enzyme Technologies Limited","  419,732 "
"691","IPL","India Pesticides Limited","  419,310 "
"692","SINDHUTRAD","Sindhu Trade Links Limited","  416,321 "
"693","DCBBANK","DCB Bank Limited","  414,644 "
"694","PAISALO","Paisalo Digital Limited","  414,447 "
"695","AMIORG","Ami Organics Limited","  413,800 "
"696","LAOPALA","La Opala RG Limited","  412,476 "
"697","THANGAMAYL","Thangamayil Jewellery Limited","  409,214 "
"698","AZAD","Azad Engineering Limited","  409,091 "
"699","SHARDACROP","Sharda Cropchem Limited","  408,518 "
"700","SSWL","Steel Strips Wheels Limited","  406,761 "
"701","TDPOWERSYS","TD Power Systems Limited","  406,120 "
"702","JTLIND","JTL INDUSTRIES LIMITED","  406,022 "
"703","EPIGRAL","Epigral Limited","  405,966 "
"704","TIMETECHNO","Time Technoplast Limited","  400,984 "
"705","TARC","TARC Limited","  400,446 "
"706","FCL","Fineotex Chemical Limited","  400,134 "
"707","VMART","V-Mart Retail Limited","  396,462 "
"708","RAJRATAN","Rajratan Global Wire Limited","  396,217 "
"709","LGBBROSLTD","LG Balakrishnan & Bros Limited","  394,995 "
"710","NUCLEUS","Nucleus Software Exports Limited","  393,099 "
"711","LUXIND","Lux Industries Limited","  390,932 "
"712","ASHOKA","Ashoka Buildcon Limited","  390,907 "
"713","DELTACORP","Delta Corp Limited","  390,812 "
"714","BCG","Brightcom Group Limited","  390,468 "
"715","NEOGEN","Neogen Chemicals Limited","  390,462 "
"716","WABAG","VA Tech Wabag Limited","  390,432 "
"717","KIRLPNU","Kirloskar Pneumatic Company Limited","  390,087 "
"718","SHARDAMOTR","Sharda Motor Industries Limited","  388,459 "
"719","JTEKTINDIA","Jtekt India Limited","  388,113 "
"720","ITDC","India Tourism Development Corporation Limited","  386,949 "
"721","BOROLTD","Borosil Limited","  386,084 "
"722","ASHAPURMIN","Ashapura Minechem Limited","  385,156 "
"723","IFBIND","IFB Industries Limited","  380,654 "
"724","SUDARSCHEM","Sudarshan Chemical Industries Limited","  380,058 "
"725","SUNFLAG","Sunflag Iron And Steel Company Limited","  377,289 "
"726","HATHWAY","Hathway Cable & Datacom Limited","  375,262 "
"727","HIKAL","Hikal Limited","  374,773 "
"728","TATVA","Tatva Chintan Pharma Chem Limited","  374,694 "
"729","BALMLAWRIE","Balmer Lawrie & Company Limited","  374,242 "
"730","BHARATRAS","Bharat Rasayan Limited","  374,138 "
"731","KOLTEPATIL","Kolte - Patil Developers Limited","  371,358 "
"732","HLEGLAS","HLE Glascoat Limited","  368,565 "
"733","HINDWAREAP","Hindware Home Innovation Limited","  367,916 "
"734","FLAIR","Flair Writing Industries Limited","  367,461 "
"735","INDOCO","Indoco Remedies Limited","  364,178 "
"736","SAMHI","Samhi Hotels Limited","  362,920 "
"737","AVALON","Avalon Technologies Limited","  361,719 "
"738","ORCHPHARMA","Orchid Pharma Limited","  361,374 "
"739","HARSHA","Harsha Engineers International Limited","  357,894 "
"740","KDDL","KDDL Limited","  356,255 "
"741","BAJAJHIND","Bajaj Hindusthan Sugar Limited","  355,106 "
"742","SANGHVIMOV","Sanghvi Movers Limited","  354,096 "
"743","ESAFSFB","ESAF Small Finance Bank Limited","  353,654 "
"744","SUBROS","Subros Limited","  353,480 "
"745","PILANIINVS","Pilani Investment and Industries Corporation Limited","  352,806 "
"746","GULFOILLUB","Gulf Oil Lubricants India Limited","  352,563 "
"747","GREAVESCOT","Greaves Cotton Limited","  352,524 "
"748","EMUDHRA","eMudhra Limited","  352,497 "
"749","IDEAFORGE","Ideaforge Technology Limited","  350,451 "
"750","KIRLOSIND","Kirloskar Industries Limited","  349,405 "
"751","UFLEX","UFLEX Limited","  348,709 "
"752","GANESHHOUC","Ganesh Housing Corporation Limited","  347,349 "
"753","DYNAMATECH","Dynamatic Technologies Limited","  347,233 "
"754","MAITHANALL","Maithan Alloys Limited","  346,631 "
"755","TVSSRICHAK","TVS Srichakra Limited","  346,420 "
"756","LANDMARK","Landmark Cars Limited","  342,989 "
"757","KSCL","Kaveri Seed Company Limited","  342,577 "
"758","NAVNETEDUL","Navneet Education Limited","  341,808 "
"759","TASTYBITE","Tasty Bite Eatables Limited","  341,508 "
"760","THYROCARE","Thyrocare Technologies Limited","  340,777 "
"761","SAKSOFT","Saksoft Limited","  339,278 "
"762","TATAMETALI","Tata Metaliks Limited","  339,174 "
"763","GMRP&UI","GMR Power and Urban Infra Limited","  338,918 "
"764","DISHTV","Dish TV India Limited","  336,950 "
"765","CARTRADE","Cartrade Tech Limited","  334,374 "
"766","DALMIASUG","Dalmia Bharat Sugar and Industries Limited","  333,996 "
"767","NILKAMAL","Nilkamal Limited","  333,988 "
"768","SAGCEM","Sagar Cements Limited","  332,847 "
"769","DCXINDIA","DCX Systems Limited","  330,118 "
"770","POLYPLEX","Polyplex Corporation Limited","  330,045 "
"771","TRIL","Transformers And Rectifiers (India) Limited","  329,822 "
"772","SANGHIIND","Sanghi Industries Limited","  327,816 "
"773","SHALBY","Shalby Limited","  326,838 "
"774","VSTTILLERS","V.S.T Tillers Tractors Limited","  326,427 "
"775","GRWRHITECH","Garware Hi-Tech Films Limited","  325,695 "
"776","NRBBEARING","NRB Bearing Limited","  325,515 "
"777","SUNDARMHLD","Sundaram Finance Holdings Limited","  324,383 "
"778","AUTOAXLES","Automotive Axles Limited","  324,227 "
"779","YATHARTH","Yatharth Hospital & Trauma Care Services Limited","  323,956 "
"780","BANARISUG","Bannari Amman Sugars Limited","  320,609 "
"781","GENSOL","Gensol Engineering Limited","  320,234 "
"782","BOMDYEING","Bombay Dyeing & Mfg Company Limited","  318,064 "
"783","PFOCUS","Prime Focus Limited","  317,958 "
"784","GUFICBIO","Gufic Biosciences Limited","  317,328 "
"785","SBCL","Shivalik Bimetal Controls Limited","  317,140 "
"786","BAJAJCON","Bajaj Consumer Care Limited","  313,242 "
"787","INNOVACAP","Innova Captab Limited","  309,816 "
"788","INOXGREEN","Inox Green Energy Services Limited","  308,580 "
"789","SUNCLAY","Sundaram Clayton Limited","  305,859 "
"790","SOMANYCERA","Somany Ceramics Limited","  304,625 "
"791","MOLDTKPAC","Mold-Tek Packaging Limited","  303,915 "
"792","JCHAC","Johnson Controls - Hitachi Air Conditioning India Limited","  303,505 "
"793","DIVGIITTS","Divgi Torqtransfer Systems Limited","  299,942 "
"794","PRAKASH","Prakash Industries Limited","  299,425 "
"795","APOLLO","Apollo Micro Systems Limited","  299,300 "
"796","SANDHAR","Sandhar Technologies Limited","  296,861 "
"797","GREENPLY","Greenply Industries Limited","  295,002 "
"798","SWARAJENG","Swaraj Engines Limited","  294,304 "
"799","WENDT","Wendt (India) Limited","  293,255 "
"800","STYLAMIND","Stylam Industries Limited","  291,812 "
"801","CIGNITITEC","Cigniti Technologies Limited","  291,292 "
"802","MPSLTD","MPS Limited","  290,517 "
"803","IFGLEXPOR","IFGL Refractories Limited","  288,098 "
"804","KINGFA","Kingfa Science & Technology (India) Limited","  287,817 "
"805","SHILPAMED","Shilpa Medicare Limited","  286,707 "
"806","DREAMFOLKS","Dreamfolks Services Limited","  286,605 "
"807","SEPC","SEPC Limited","  286,133 "
"808","IMAGICAA","Imagicaaworld Entertainment Limited","  286,008 "
"809","UNICHEMLAB","Unichem Laboratories Limited","  285,777 "
"810","MUKANDLTD","Mukand Limited","  285,740 "
"811","VENUSPIPES","Venus Pipes & Tubes Limited","  284,257 "
"812","SEQUENT","Sequent Scientific Limited","  283,731 "
"813","CARERATING","CARE Ratings Limited","  283,319 "
"814","PGIL","Pearl Global Industries Limited","  282,837 "
"815","HERITGFOOD","Heritage Foods Limited","  281,450 "
"816","BSHSL","Bombay Super Hybrid Seeds Limited","  280,812 "
"817","TARSONS","Tarsons Products Limited","  280,557 "
"818","PARAS","Paras Defence and Space Technologies Limited","  280,371 "
"819","MAHLOG","Mahindra Logistics Limited","  279,392 "
"820","JINDALPOLY","Jindal Poly Films Limited","  277,672 "
"821","FIEMIND","Fiem Industries Limited","  276,060 "
"822","PSPPROJECT","PSP Projects Limited","  275,940 "
"823","ISMTLTD","ISMT Limited","  275,410 "
"824","VENKEYS","Venky's (India) Limited","  274,900 "
"825","BBL","Bharat Bijlee Limited","  273,126 "
"826","PARAGMILK","Parag Milk Foods Limited","  272,723 "
"827","DEN","Den Networks Limited","  272,495 "
"828","ZAGGLE","Zaggle Prepaid Ocean Services Limited","  272,093 "
"829","IOLCP","IOL Chemicals and Pharmaceuticals Limited","  271,983 "
"830","ASHIANA","Ashiana Housing Limited","  271,970 "
"831","PFS","PTC India Financial Services Limited","  269,759 "
"832","ANUP","The Anup Engineering Limited","  269,593 "
"833","IMFA","Indian Metals & Ferro Alloys Limited","  269,420 "
"834","APOLLOPIPE","Apollo Pipes Limited","  269,418 "
"835","VPRPL","Vishnu Prakash R Punglia Limited","  269,169 "
"836","DCAL","Dishman Carbogen Amcis Limited","  268,021 "
"837","GANDHAR","Gandhar Oil Refinery (India) Limited","  267,136 "
"838","GOODLUCK","Goodluck India Limited","  266,733 "
"839","OPTIEMUS","Optiemus Infracom Limited","  266,501 "
"840","SEAMECLTD","Seamec Limited","  265,920 "
"841","SATIN","Satin Creditcare Network Limited","  265,351 "
"842","APCOTEXIND","Apcotex Industries Limited","  264,254 "
"843","GIPCL","Gujarat Industries Power Company Limited","  263,480 "
"844","LUMAXTECH","Lumax Auto Technologies Limited","  262,748 "
"845","DOLLAR","Dollar Industries Limited","  262,142 "
"846","BARBEQUE","Barbeque Nation Hospitality Limited","  261,050 "
"847","UNIPARTS","Uniparts India Limited","  260,851 "
"848","VINDHYATEL","Vindhya Telelinks Limited","  259,433 "
"849","MBAPL","Madhya Bharat Agro Products Limited","  259,069 "
"850","GOCLCORP","GOCL Corporation Limited","  257,033 "
"851","DIAMONDYD","Prataap Snacks Limited","  255,775 "
"852","CONFIPET","Confidence Petroleum India Limited","  255,263 "
"853","STYRENIX","Styrenix Performance Materials Limited","  253,875 "
"854","SUPRIYA","Supriya Lifescience Limited","  253,320 "
"855","EVEREADY","Eveready Industries India Limited","  251,607 "
"856","GLOBUSSPR","Globus Spirits Limited","  251,563 "
"857","BEPL","Bhansali Engineering Polymers Limited","  250,849 "
"858","UGROCAP","Ugro Capital Limited","  249,557 "
"859","MOREPENLAB","Morepen Laboratories Limited","  248,172 "
"860","MAYURUNIQ","Mayur Uniquoters Ltd","  247,695 "
"861","HMT","HMT Limited","  247,428 "
"862","MUFIN","Mufin Green Finance Limited","  247,330 "
"863","TIDEWATER","Tide Water Oil Company (India) Limited","  246,401 "
"864","IKIO","IKIO Lighting Limited","  246,023 "
"865","REPCOHOME","Repco Home Finance Limited","  245,491 "
"866","AXISCADES","AXISCADES Technologies Limited","  245,144 "
"867","FOSECOIND","Foseco India Limited","  244,764 "
"868","ARTEMISMED","Artemis Medicare Services Limited","  244,753 "
"869","SOTL","Savita Oil Technologies Limited","  243,268 "
"870","ANDHRAPAP","ANDHRA PAPER LIMITED","  242,538 "
"871","SIYSIL","Siyaram Silk Mills Limited","  242,526 "
"872","HONDAPOWER","Honda India Power Products Limited","  242,475 "
"873","HINDOILEXP","Hindustan Oil Exploration Company Limited","  240,974 "
"874","INDIAGLYCO","India Glycols Limited","  237,769 "
"875","TCNSBRANDS","TCNS Clothing Co. Limited","  237,357 "
"876","PRECAM","Precision Camshafts Limited","  236,800 "
"877","EMSLIMITED","EMS Limited","  235,673 "
"878","SKIPPER","Skipper Limited","  234,653 "
"879","DHANI","Dhani Services Limited","  234,055 "
"880","MMFL","MM Forgings Limited","  233,598 "
"881","VISHNU","Vishnu Chemicals Limited","  233,539 "
"882","ALEMBICLTD","Alembic Limited","  232,388 "
"883","LUMAXIND","Lumax Industries Limited","  231,800 "
"884","KRSNAA","Krsnaa Diagnostics Limited","  227,966 "
"885","CAMLINFINE","Camlin Fine Sciences Limited","  227,404 "
"886","YATRA","Yatra Online Limited","  226,901 "
"887","MANORAMA","Manorama Industries Limited","  226,184 "
"888","PITTIENG","Pitti Engineering Limited","  226,145 "
"889","TIRUMALCHM","Thirumalai Chemicals Limited","  224,793 "
"890","UDS","Updater Services Limited","  224,755 "
"891","SIRCA","Sirca Paints India Limited","  224,634 "
"892","SESHAPAPER","Seshasayee Paper and Boards Limited","  223,356 "
"893","BFUTILITIE","BF Utilities Limited","  222,804 "
